"","ImageNumber","ObjectNumber","Intensity_MeanIntensity_FullStackFiltered_c1","Intensity_MeanIntensity_FullStackFiltered_c10","Intensity_MeanIntensity_FullStackFiltered_c11","Intensity_MeanIntensity_FullStackFiltered_c12","Intensity_MeanIntensity_FullStackFiltered_c13","Intensity_MeanIntensity_FullStackFiltered_c14","Intensity_MeanIntensity_FullStackFiltered_c15","Intensity_MeanIntensity_FullStackFiltered_c16","Intensity_MeanIntensity_FullStackFiltered_c17","Intensity_MeanIntensity_FullStackFiltered_c18","Intensity_MeanIntensity_FullStackFiltered_c2","Intensity_MeanIntensity_FullStackFiltered_c3","Intensity_MeanIntensity_FullStackFiltered_c4","Intensity_MeanIntensity_FullStackFiltered_c5","Intensity_MeanIntensity_FullStackFiltered_c6","Intensity_MeanIntensity_FullStackFiltered_c7","Intensity_MeanIntensity_FullStackFiltered_c8","Intensity_MeanIntensity_FullStackFiltered_c9"
"11",1,11,2.00627880446889e-05,7.06436198756651e-06,5.67974703800347e-05,4.4081618802415e-05,8.25117480147768e-05,5.67974703800347e-05,1.04552557415984e-05,7.34693646706917e-06,1.69544687701596e-06,6.13186620520773e-05,4.09732995278857e-05,1.5824170852149e-05,9.49450251128938e-05,1.13029791801064e-05,5.93406406955587e-06,4.97331083924682e-05,7.34693646706917e-06,8.47723438507981e-06
"12",2,1,1.62434749185078e-05,5.90671815218464e-06,4.87304247555233e-05,2.16579665580103e-05,4.5777065679431e-05,0.000157512484058257,6.10360875725746e-05,2.26424195833745e-05,1.96890605072821e-06,3.83936679892002e-05,2.55957786594668e-05,9.35230374095901e-06,7.3341750389626e-05,5.41449163950259e-06,6.39894466486669e-06,5.02071042935694e-05,6.89117117754875e-06,1.18134363043693e-05
"13",2,2,1.9681926789707e-05,9.28810028278309e-06,5.77189089001521e-05,2.76431556035211e-05,4.00272893138986e-05,2.21145244828169e-05,6.16995233070591e-05,8.18237405864225e-06,1.54801671379718e-06,4.17964512725239e-05,4.11330155380394e-05,1.4374440913831e-05,6.03726518380901e-05,7.29779307932957e-06,7.27567855484676e-05,0.000233308233293718,4.20175965173521e-06,5.30748587587605e-06
"14",2,3,1.93672200951439e-05,7.04262548914322e-06,3.46262419882875e-05,2.93442728714301e-05,1.87803346377153e-05,1.81934491802867e-05,2.93442728714301e-06,7.62951094657183e-06,2.34754182971441e-06,7.21869112637181e-05,0.000143786937070007,1.1737709148572e-05,5.86885457428602e-06,5.86885457428602e-06,1.05639382337148e-05,2.46491892120013e-05,1.1737709148572e-05,5.86885457428602e-06
"15",2,4,5.54873523387042e-06,1.3871838084676e-05,5.2712984721769e-05,1.80333895100789e-05,9.71028665927324e-06,2.08077571270141e-05,1.3871838084676e-06,5.54873523387042e-06,0,5.41001685302366e-05,6.24232713810422e-05,8.32310285080563e-06,2.35821247439493e-05,4.16155142540281e-06,5.54873523387042e-06,8.32310285080563e-06,6.93591904233802e-06,6.93591904233802e-06
"16",2,5,1.53830789817058e-05,4.8382264539236e-06,2.36949039153694e-05,1.11651379705929e-05,1.8980734550008e-05,2.44392464467423e-05,1.73679923987001e-06,4.59011227679931e-06,1.24057088562144e-06,2.95255870777902e-05,5.13596346647274e-05,7.56748240229076e-06,1.61274215130787e-06,7.93965366797719e-06,4.09388392255074e-06,1.64995927787651e-05,4.71416936536145e-06,6.82313987091789e-06
"17",2,6,1.64150084002e-05,6.47352443951549e-06,0.00011675463721269,8.85485664405154e-05,8.36934231108788e-05,1.59526137973775e-05,2.05765598256028e-05,8.32310285080563e-06,3.69915682258028e-06,2.65876896622958e-05,9.9414839606845e-06,1.80333895100789e-05,7.83758851784197e-05,4.16155142540281e-06,6.70472174092676e-06,0.000308417200082631,1.61838110987887e-06,4.62394602822535e-06
"18",2,7,0.000210035948411507,4.93674237719353e-06,0.000359035809250439,3.45571966403547e-05,4.48794761563049e-05,4.03915285406744e-05,7.85390832735335e-05,0.000170990804155522,6.28312666188268e-06,0.000148999860838932,4.35330918716157e-05,1.43614323700176e-05,0.000100530026590123,1.34638428468915e-05,1.34638428468915e-05,2.51325066475307e-05,7.18071618500878e-06,8.07830570813488e-05
"19",2,8,2.03788252915011e-05,7.93067585235756e-06,2.54986286898585e-05,1.77687294413581e-05,2.70044532187871e-05,2.80083362380729e-05,3.71436717135734e-06,6.0232981157146e-06,2.20854264242869e-06,3.65413419020019e-05,4.17615336022879e-05,7.93067585235756e-06,8.73378226778617e-06,8.43261736200044e-06,7.3283460407861e-06,1.46566920815722e-05,4.01553207714307e-06,6.0232981157146e-06
"20",2,9,2.33373276012785e-05,3.14156333094134e-06,0.000149448655600495,2.06445590319002e-05,2.24397380781524e-05,8.48222099354162e-05,7.13583670885247e-05,9.96324370669968e-05,4.93674237719353e-06,9.02077470741728e-05,6.10360875725746e-05,1.52590218931437e-05,5.29577818644397e-05,9.87348475438707e-06,9.87348475438707e-06,8.07830570813488e-05,7.18071618500878e-06,3.59035809250439e-05
"21",2,10,0.000166657129739178,8.82162203197367e-06,0.000508793011249509,0.000152351796714356,9.20309757930227e-05,1.71663996297866e-05,6.43739986116998e-05,0.000118972686323104,6.67582207825035e-06,0.000154259174450999,3.4809643693734e-05,4.86381322843954e-05,0.00013518539708457,1.40669108077418e-05,1.76432440639473e-05,9.53688868321478e-05,5.96055542700924e-06,0.00023842221708037
"22",2,11,1.88921223438921e-05,6.22817220128312e-06,1.61932477233361e-05,1.20411329224807e-05,3.15560724865012e-05,3.07256495263301e-05,3.11408610064156e-06,7.47380664153975e-06,2.49126888051325e-06,3.11408610064156e-05,4.72303058597304e-05,1.37019788428229e-05,5.7091578511762e-06,1.01726812620958e-05,6.02056646124035e-06,1.28715558826518e-05,3.5292975807271e-06,5.7091578511762e-06
"23",2,12,9.27913493501979e-06,3.91785697256391e-06,3.27862767704033e-05,1.69086458815916e-05,1.48466158960317e-05,4.2065411705423e-05,7.85633424498342e-05,8.24811994223981e-06,8.24811994223981e-07,2.35071418353835e-05,2.12389088512675e-05,4.12405997111991e-06,3.91785697256391e-05,4.3302629696759e-06,1.71148488801476e-05,2.41257508310515e-05,5.13445466404428e-05,5.15507496389988e-06
"24",2,13,2.38729858650796e-05,6.15283140852567e-06,4.70076319611361e-05,2.87952509919001e-05,5.73443887274592e-05,2.92874775045822e-05,2.21501930706924e-06,7.62951094657183e-06,1.47667953804616e-06,4.45464993977258e-05,4.11009138089515e-05,1.62434749185078e-05,3.44558558877437e-06,1.27978893297334e-05,7.3833976902308e-06,1.8458494225577e-05,3.93781210145643e-06,7.13728443388977e-06
